"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,5,"DZA","Algeria",1,"Aïn Defla",1,"Ain Benian","DZ.AD.AN",NA,"4426","Commune-Cotiere","Commune-Cotiere","",""
2,5,"DZA","Algeria",1,"Aïn Defla",2,"Ain Bouihi","DZ.AD.AB",NA,"4433","Commune","Commune","","Ain Bouyahia"
3,5,"DZA","Algeria",1,"Aïn Defla",3,"Ain Defla","DZ.AD.AD",NA,"4401","Chef-Lieu-Wilaya","Chef-Lieu-Wilaya","","Ain-Defla|`Ayn Daflah"
4,5,"DZA","Algeria",1,"Aïn Defla",4,"Ain Lechiakh","DZ.AD.AL",NA,"4414","Commune","Commune","",""
5,5,"DZA","Algeria",1,"Aïn Defla",5,"Ain Soltane","DZ.AD.AS",NA,"4420","Commune","Commune","",""
6,5,"DZA","Algeria",1,"Aïn Defla",6,"Ain Tork","DZ.AD.AT",NA,"4423","Commune","Commune","","Ain Torki"
7,5,"DZA","Algeria",1,"Aïn Defla",7,"Arib","DZ.AD.AR",NA,"4406","Commune","Commune","",""
8,5,"DZA","Algeria",1,"Aïn Defla",8,"Barbouche","DZ.AD.BB",NA,"4428","Commune","Commune","",""
9,5,"DZA","Algeria",1,"Aïn Defla",9,"Bathia","DZ.AD.BT",NA,"4431","Commune","Commune","",""
10,5,"DZA","Algeria",1,"Aïn Defla",10,"Belaas","DZ.AD.BL",NA,"4436","Commune","Commune","",""
11,5,"DZA","Algeria",1,"Aïn Defla",11,"Ben Allal","DZ.AD.BA",NA,"4425","Commune","Commune","",""
12,5,"DZA","Algeria",1,"Aïn Defla",12,"Bir Ould Khelifa","DZ.AD.BO",NA,"4419","Commune","Commune","","Bir Ouled Khelifa"
13,5,"DZA","Algeria",1,"Aïn Defla",13,"Bordj Emir Khaled","DZ.AD.BE",NA,"4422","Commune","Commune","",""
14,5,"DZA","Algeria",1,"Aïn Defla",14,"Boumedfaa","DZ.AD.BF",NA,"4403","Commune","Commune","",""
15,5,"DZA","Algeria",1,"Aïn Defla",15,"Bourached","DZ.AD.BR",NA,"4409","Commune","Commune","",""
16,5,"DZA","Algeria",1,"Aïn Defla",16,"Djelida","DZ.AD.DL",NA,"4407","Commune","Commune","",""
17,5,"DZA","Algeria",1,"Aïn Defla",17,"Djemaa Ouled Cheikh","DZ.AD.DO",NA,"4429","Commune","Commune","",""
18,5,"DZA","Algeria",1,"Aïn Defla",18,"Djendel","DZ.AD.DN",NA,"4412","Commune","Commune","","Jandal"
19,5,"DZA","Algeria",1,"Aïn Defla",19,"El Abadia","DZ.AD.EB",NA,"4411","Commune","Commune","","El Abbadia|al-Ab`a-di-yah"
20,5,"DZA","Algeria",1,"Aïn Defla",20,"El Amra","DZ.AD.ER",NA,"4408","Commune","Commune","","al-Amrah"
21,5,"DZA","Algeria",1,"Aïn Defla",21,"El Attaf","DZ.AD.ET",NA,"4410","Commune","Commune","","al-Ashir"
22,5,"DZA","Algeria",1,"Aïn Defla",22,"El Hassania","DZ.AD.EH",NA,"4418","Commune","Commune","",""
23,5,"DZA","Algeria",1,"Aïn Defla",23,"El Maine","DZ.AD.EM",NA,"4434","Commune","Commune","","El Mayene"
24,5,"DZA","Algeria",1,"Aïn Defla",24,"Hammam Righa","DZ.AD.HR",NA,"4405","Commune","Commune","",""
25,5,"DZA","Algeria",1,"Aïn Defla",25,"Hoceinia","DZ.AD.HO",NA,"4427","Commune","Commune","","El Hoceinia"
26,5,"DZA","Algeria",1,"Aïn Defla",26,"Khemis Miliana","DZ.AD.KM",NA,"4404","Commune","Commune","","Khamis Milyanah"
27,5,"DZA","Algeria",1,"Aïn Defla",27,"Mekhatria","DZ.AD.ME",NA,"4430","Commune","Commune","",""
28,5,"DZA","Algeria",1,"Aïn Defla",28,"Miliana","DZ.AD.MI",NA,"4402","Commune","Commune","","Milyanah"
29,5,"DZA","Algeria",1,"Aïn Defla",29,"Oued Chorfa","DZ.AD.OC",NA,"4413","Commune","Commune","",""
30,5,"DZA","Algeria",1,"Aïn Defla",30,"Oued Djemaa","DZ.AD.OD",NA,"4415","Commune","Commune","",""
31,5,"DZA","Algeria",1,"Aïn Defla",31,"Rouina","DZ.AD.RO",NA,"4416","Commune","Commune","","Ruwinah"
32,5,"DZA","Algeria",1,"Aïn Defla",32,"Sidi Lakhdar","DZ.AD.SL",NA,"4424","Commune","Commune","",""
33,5,"DZA","Algeria",1,"Aïn Defla",33,"Tacheta Zegagha","DZ.AD.TZ",NA,"4432","Commune","Commune","","Tachta Zegarra"
34,5,"DZA","Algeria",1,"Aïn Defla",34,"Tarik Ibn-Ziad","DZ.AD.TI",NA,"4421","Commune","Commune","","Tarik Ibn Ziad"
35,5,"DZA","Algeria",1,"Aïn Defla",35,"Tiberkanine","DZ.AD.TB",NA,"4435","Commune","Commune","",""
36,5,"DZA","Algeria",1,"Aïn Defla",36,"Zeddine","DZ.AD.ZE",NA,"4417","Commune","Commune","",""
37,5,"DZA","Algeria",2,"Aïn Témouchent",37,"Aghlal","DZ.AT.AG",NA,"4607","Commune","Commune","",""
38,5,"DZA","Algeria",2,"Aïn Témouchent",38,"Ain El Arbaa","DZ.AT.AA",NA,"4609","Commune","Commune","",""
39,5,"DZA","Algeria",2,"Aïn Témouchent",39,"Ain Kihel","DZ.AT.AK",NA,"4603","Commune","Commune","",""
40,5,"DZA","Algeria",2,"Aïn Témouchent",40,"Ain Temouchent","DZ.AT.AT",NA,"4601","Chef-Lieu-Wilaya","Chef-Lieu-Wilaya","","Ain-Temouchent|`Ayn Tamushanat"
41,5,"DZA","Algeria",2,"Aïn Témouchent",41,"Ain Tolba","DZ.AT.AB",NA,"4618","Commune","Commune","",""
42,5,"DZA","Algeria",2,"Aïn Témouchent",42,"Aoubellil","DZ.AT.AO",NA,"4613","Commune","Commune","","Ougbellil"
43,5,"DZA","Algeria",2,"Aïn Témouchent",43,"Beni Saf","DZ.AT.BS",NA,"4623","Commune-Cotiere","Commune-Cotiere","","Bani- Sa-f"
44,5,"DZA","Algeria",2,"Aïn Témouchent",44,"Bou Zedjar","DZ.AT.BZ",NA,"4605","Commune-Cotiere","Commune-Cotiere","","Bouzedjar"
45,5,"DZA","Algeria",2,"Aïn Témouchent",45,"Chaabet El Ham","DZ.AT.CH",NA,"4602","Commune","Commune","","Sha`abat-al-Laham"
46,5,"DZA","Algeria",2,"Aïn Témouchent",46,"Chentouf","DZ.AT.CT",NA,"4611","Commune","Commune","",""
47,5,"DZA","Algeria",2,"Aïn Témouchent",47,"El Amria","DZ.AT.EA",NA,"4619","Commune","Commune","","al-Amriyah"
48,5,"DZA","Algeria",2,"Aïn Témouchent",48,"El Malah","DZ.AT.EL",NA,"4614","Commune","Commune","","al-Malah"
49,5,"DZA","Algeria",2,"Aïn Témouchent",49,"El Messaid","DZ.AT.ES",NA,"4628","Commune-Cotiere","Commune-Cotiere","","El Msaid"
50,5,"DZA","Algeria",2,"Aïn Témouchent",50,"Emir Abdelkader","DZ.AT.EK",NA,"4627","Commune","Commune","","El Emir Abdelkader"
51,5,"DZA","Algeria",2,"Aïn Témouchent",51,"Hammam Bouhadjar","DZ.AT.HB",NA,"4604","Commune","Commune","","Hamman Bu Hajjar"
52,5,"DZA","Algeria",2,"Aïn Témouchent",52,"Hassasna","DZ.AT.HA",NA,"4621","Commune","Commune","",""
53,5,"DZA","Algeria",2,"Aïn Témouchent",53,"Hassi El Ghella","DZ.AT.HG",NA,"4620","Commune","Commune","",""
54,5,"DZA","Algeria",2,"Aïn Témouchent",54,"Oued Berkeche","DZ.AT.OB",NA,"4606","Commune","Commune","",""
55,5,"DZA","Algeria",2,"Aïn Témouchent",55,"Oued Sebbah","DZ.AT.OS",NA,"4616","Commune","Commune","",""
56,5,"DZA","Algeria",2,"Aïn Témouchent",56,"Ouled Boudjemaa","DZ.AT.OJ",NA,"4617","Commune-Cotiere","Commune-Cotiere","",""
57,5,"DZA","Algeria",2,"Aïn Témouchent",57,"Ouled Kihel","DZ.AT.OK",NA,"4622","Commune-Cotiere","Commune-Cotiere","","Ouled Kihal"
58,5,"DZA","Algeria",2,"Aïn Témouchent",58,"Oulhaca El Gheraba","DZ.AT.OG",NA,"4625","Commune-Cotiere","Commune-Cotiere","","Oulhaca Gherraba"
59,5,"DZA","Algeria",2,"Aïn Témouchent",59,"Sidi Ben Adda","DZ.AT.SA",NA,"4612","Commune-Cotiere","Commune-Cotiere","",""
60,5,"DZA","Algeria",2,"Aïn Témouchent",60,"Sidi Boumediene","DZ.AT.SB",NA,"4615","Commune","Commune","",""
61,5,"DZA","Algeria",2,"Aïn Témouchent",61,"Sidi Ouriache|Tadmaya","DZ.AT.SO",NA,"4626","Commune","Commune","","Tadmaya"
62,5,"DZA","Algeria",2,"Aïn Témouchent",62,"Sidi Safi","DZ.AT.SS",NA,"4624","Commune-Cotiere","Commune-Cotiere","",""
63,5,"DZA","Algeria",2,"Aïn Témouchent",63,"Tamzoura","DZ.AT.TA",NA,"4610","Commune","Commune","","Tamzougha"
64,5,"DZA","Algeria",2,"Aïn Témouchent",64,"Terga","DZ.AT.TE",NA,"4608","Commune-Cotiere","Commune-Cotiere","",""
65,5,"DZA","Algeria",3,"Adrar",65,"Adrar","DZ.AR.AD",NA,"101","Chef-Lieu-Wilaya","Chef-Lieu-Wilaya","","Adrar"
66,5,"DZA","Algeria",3,"Adrar",66,"Akabli","DZ.AR.AK",NA,"119","Commune","Commune","","Akabili"
67,5,"DZA","Algeria",3,"Adrar",67,"Aougrout","DZ.AR.AG",NA,"123","Commune","Commune","",""
68,5,"DZA","Algeria",3,"Adrar",68,"Aoulef","DZ.AR.AL",NA,"112","Commune","Commune","","Awla-f"
69,5,"DZA","Algeria",3,"Adrar",69,"Bordj Badji Mokhtar","DZ.AR.BB",NA,"125","Commune","Commune","",""
70,5,"DZA","Algeria",3,"Adrar",70,"Bouda","DZ.AR.BO",NA,"122","Commune","Commune","",""
71,5,"DZA","Algeria",3,"Adrar",71,"Charouine","DZ.AR.CH",NA,"103","Commune","Commune","","Gharouine"
72,5,"DZA","Algeria",3,"Adrar",72,"Deldoul","DZ.AR.DE",NA,"117","Commune","Commune","",""
73,5,"DZA","Algeria",3,"Adrar",73,"Fenoughil","DZ.AR.FE",NA,"115","Commune","Commune","",""
74,5,"DZA","Algeria",3,"Adrar",74,"In Zghmir","DZ.AR.IZ",NA,"105","Commune","Commune","","Inzegmir"
75,5,"DZA","Algeria",3,"Adrar",75,"Ksar Kaddour","DZ.AR.KK",NA,"107","Commune","Commune","",""
76,5,"DZA","Algeria",3,"Adrar",76,"Metarfa","DZ.AR.ME",NA,"120","Commune","Commune","",""
77,5,"DZA","Algeria",3,"Adrar",77,"Ouled Ahmed Temmi","DZ.AR.OT",NA,"121","Commune","Commune","","Ouled Ahmed Timi"
78,5,"DZA","Algeria",3,"Adrar",78,"Ouled Aissa","DZ.AR.OA",NA,"127","Commune","Commune","",""
79,5,"DZA","Algeria",3,"Adrar",79,"Ouled Said","DZ.AR.OS",NA,"110","Commune","Commune","",""
80,5,"DZA","Algeria",3,"Adrar",80,"Reggane","DZ.AR.RE",NA,"104","Commune","Commune","","Rijan"
81,5,"DZA","Algeria",3,"Adrar",81,"Sali","DZ.AR.SA",NA,"118","Commune","Commune","",""
82,5,"DZA","Algeria",3,"Adrar",82,"Sebaa","DZ.AR.SE",NA,"126","Commune","Commune","",""
83,5,"DZA","Algeria",3,"Adrar",83,"Talmine","DZ.AR.TL",NA,"124","Commune","Commune","",""
84,5,"DZA","Algeria",3,"Adrar",84,"Tamantit","DZ.AR.TN",NA,"114","Commune","Commune","","Tamentit"
85,5,"DZA","Algeria",3,"Adrar",85,"Tamekten","DZ.AR.TA",NA,"113","Commune","Commune","","Timokten"
86,5,"DZA","Algeria",3,"Adrar",86,"Tamest","DZ.AR.TE",NA,"102","Commune","Commune","",""
87,5,"DZA","Algeria",3,"Adrar",87,"Timiaouine","DZ.AR.TI",NA,"128","Commune","Commune","",""
88,5,"DZA","Algeria",3,"Adrar",88,"Timmimoun","DZ.AR.TM",NA,"109","Commune","Commune","","Timimoun|Timimun"
89,5,"DZA","Algeria",3,"Adrar",89,"Tinerkouk","DZ.AR.TK",NA,"116","Commune","Commune","",""
90,5,"DZA","Algeria",3,"Adrar",90,"Tit","DZ.AR.TT",NA,"106","Commune","Commune","",""
91,5,"DZA","Algeria",3,"Adrar",91,"Tsabit","DZ.AR.TS",NA,"108","Commune","Commune","",""
92,5,"DZA","Algeria",3,"Adrar",92,"Zaouiet Kounta","DZ.AR.ZK",NA,"111","Commune","Commune","",""
93,5,"DZA","Algeria",4,"Alger",93,"Ain Benian","DZ.AL.AB",NA,"1644","Commune-Cotiere","Commune-Cotiere","",""
94,5,"DZA","Algeria",4,"Alger",94,"Baraki","DZ.AL.BR",NA,"1614","Commune","Commune","",""
95,5,"DZA","Algeria",4,"Alger",95,"Birtouta","DZ.AL.BT",NA,"1634","Commune","Commune","",""
96,5,"DZA","Algeria",4,"Alger",96,"Bordj El Kiffan","DZ.AL.BK",NA,"1630","Commune-Cotiere","Commune-Cotiere","","Burj-al-Kiffan"
97,5,"DZA","Algeria",4,"Alger",97,"Bouzareah","DZ.AL.BZ",NA,"1611","Commune","Commune","",""
98,5,"DZA","Algeria",4,"Alger",98,"Cheraga","DZ.AL.CH",NA,"1650","Commune","Commune","","Shiragha"
99,5,"DZA","Algeria",4,"Alger",99,"Dar El Beida","DZ.AL.DB",NA,"1620","Commune","Commune","","Dar-al-Bayda"
100,5,"DZA","Algeria",4,"Alger",100,"Djasr Kasentina","DZ.AL.DK",NA,"1626","Commune","Commune","","Djisr Ksentina"
101,5,"DZA","Algeria",4,"Alger",101,"Douera","DZ.AL.DO",NA,"1654","Commune","Commune","","Duwirah"
102,5,"DZA","Algeria",4,"Alger",102,"Draria","DZ.AL.DR",NA,"1653","Commune","Commune","",""
103,5,"DZA","Algeria",4,"Alger",103,"El Achour","DZ.AL.EA",NA,"1652","Commune","Commune","",""
104,5,"DZA","Algeria",4,"Alger",104,"Haraoua","DZ.AL.HA",NA,"1641","Commune-Cotiere","Commune-Cotiere","",""
105,5,"DZA","Algeria",4,"Alger",105,"Khraicia","DZ.AL.KH",NA,"1656","Commune","Commune","","Khraissia"
106,5,"DZA","Algeria",4,"Alger",106,"Kouba","DZ.AL.KO",NA,"1618","Commune","Commune","",""
107,5,"DZA","Algeria",4,"Alger",107,"Les Eucalyptus","DZ.AL.LE",NA,"1633","Commune","Commune","",""
108,5,"DZA","Algeria",4,"Alger",108,"Mahelma","DZ.AL.MH",NA,"1647","Commune","Commune","",""
109,5,"DZA","Algeria",4,"Alger",109,"Ouled Chebel","DZ.AL.OC",NA,"1636","Commune","Commune","",""
110,5,"DZA","Algeria",4,"Alger",110,"Ouled Fayet","DZ.AL.OF",NA,"1651","Commune","Commune","",""
111,5,"DZA","Algeria",4,"Alger",111,"Reghaia","DZ.AL.RE",NA,"1643","Commune-Cotiere","Commune-Cotiere","","Raghayah"
112,5,"DZA","Algeria",4,"Alger",112,"Rouiba","DZ.AL.RO",NA,"1642","Commune","Commune","","ar-Ruwibah"
113,5,"DZA","Algeria",4,"Alger",113,"Saoula","DZ.AL.SA",NA,"1657","Commune","Commune","","Sawlah"
114,5,"DZA","Algeria",4,"Alger",114,"Sidi Moussa","DZ.AL.SM",NA,"1637","Commune","Commune","","Sidi Mussa"
